Crime Description,Crime Domain
SHOPLIFTING,Other Crime
IDENTITY THEFT,Violent Crime
HOMICIDE,Other Crime
VANDALISM,Other Crime
ARSON,Fire Accident
BURGLARY,Other Crime
FIREARM OFFENSE,Fire Accident
KIDNAPPING,Other Crime
EXTORTION,Other Crime
IDENTITY THEFT,Violent Crime
DRUG OFFENSE,Other Crime
IDENTITY THEFT,Violent Crime
VANDALISM,Other Crime
FIREARM OFFENSE,Fire Accident
BURGLARY,Other Crime
SEXUAL ASSAULT,Violent Crime
SHOPLIFTING,Other Crime
PUBLIC INTOXICATION,Other Crime
VEHICLE - STOLEN,Violent Crime
ROBBERY,Violent Crime
DOMESTIC VIOLENCE,Violent Crime
CYBERCRIME,Other Crime
KIDNAPPING,Other Crime
COUNTERFEITING,Other Crime
COUNTERFEITING,Other Crime
TRAFFIC VIOLATION,Traffic Fatality
FRAUD,Other Crime
TRAFFIC VIOLATION,Traffic Fatality
EXTORTION,Other Crime
BURGLARY,Other Crime
FRAUD,Other Crime
ROBBERY,Violent Crime
DRUG OFFENSE,Other Crime
ROBBERY,Violent Crime
SEXUAL ASSAULT,Violent Crime
ROBBERY,Violent Crime
COUNTERFEITING,Other Crime
ROBBERY,Violent Crime
DRUG OFFENSE,Other Crime
VEHICLE - STOLEN,Violent Crime
PUBLIC INTOXICATION,Other Crime
SEXUAL ASSAULT,Violent Crime
EXTORTION,Other Crime
VEHICLE - STOLEN,Violent Crime
KIDNAPPING,Other Crime
TRAFFIC VIOLATION,Traffic Fatality
ROBBERY,Violent Crime
TRAFFIC VIOLATION,Traffic Fatality
EXTORTION,Other Crime
HOMICIDE,Other Crime
TRAFFIC VIOLATION,Traffic Fatality
EXTORTION,Other Crime
VANDALISM,Other Crime
COUNTERFEITING,Other Crime
ROBBERY,Violent Crime
HOMICIDE,Other Crime
ASSAULT,Violent Crime
KIDNAPPING,Other Crime
SHOPLIFTING,Other Crime
DRUG OFFENSE,Other Crime
HOMICIDE,Other Crime
DOMESTIC VIOLENCE,Violent Crime
IDENTITY THEFT,Violent Crime
ILLEGAL POSSESSION,Other Crime
ARSON,Fire Accident
ILLEGAL POSSESSION,Other Crime
IDENTITY THEFT,Violent Crime
SHOPLIFTING,Other Crime
VANDALISM,Other Crime
HOMICIDE,Other Crime
HOMICIDE,Other Crime
PUBLIC INTOXICATION,Other Crime
PUBLIC INTOXICATION,Other Crime
PUBLIC INTOXICATION,Other Crime
HOMICIDE,Other Crime
DRUG OFFENSE,Other Crime
ARSON,Fire Accident
SEXUAL ASSAULT,Violent Crime
EXTORTION,Other Crime
COUNTERFEITING,Other Crime
FRAUD,Other Crime
EXTORTION,Other Crime
DOMESTIC VIOLENCE,Violent Crime
KIDNAPPING,Other Crime
ILLEGAL POSSESSION,Other Crime
SHOPLIFTING,Other Crime
SHOPLIFTING,Other Crime
COUNTERFEITING,Other Crime
HOMICIDE,Other Crime
EXTORTION,Other Crime
FRAUD,Other Crime
VEHICLE - STOLEN,Violent Crime
